Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoFK,ShoPK,PKatt,PasTotAtt,PasTotCmp%,PasShoAtt,PasShoCmp%,PasMedAtt,PasMedCmp%,PasLonAtt,PasLonCmp%,Assists,PPA,CrsPA,PasProg,PasAtt,PasCrs,TI,CK,PasCmp,SCA,GCA,Tkl,TklWon,TklDri%,TklDriPast,BlkSh,Int,Clr,Touches,ToAtt,ToSuc,ToSuc%,ToTkl,Carries,CarProg,Car3rd,Rec,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,Recov,AerWon,AerLost,AerWon%
Pere Milla,ESP,FWMF,Elche,La Liga,30,1992,19,1205,6,1.57,0.3,19,0.14,0.07,0.22,0.22,30.8,70.7,15.1,77.7,8.58,79.1,3.66,55.1,0.07,0.75,0.15,3.88,30.8,0.97,0.45,0.07,21.8,2.24,0.22,1.72,0.97,38.5,1.19,0.07,0.52,0.75,43.4,2.01,0.67,33.3,1.04,26.1,1.27,1.87,29.7,0.3,0,0.97,2.46,0.52,0.97,0.97,0.07,0,5.52,1.27,1.42,47.2
Enzo Millot,FRA,MF,Stuttgart,Bundesliga,20,2002,11,354,0,1.54,0.77,50,0,0.26,0,0,38.2,79.2,18.5,86.1,13.8,81.5,2.31,44.4,0,1.03,0,3.08,38.2,2.31,0.26,1.03,30.3,3.59,0.26,2.56,1.79,57.1,0.77,0.51,2.31,1.03,55.4,4.1,1.03,25,2.31,24.9,2.31,1.79,33.8,0.51,0,1.28,1.28,0,2.31,1.79,0,0,5.13,0.51,2.31,18.2
James Milner,ENG,DFMF,Liverpool,Premier League,37,1986,14,546,0,0.98,0.16,16.7,0,0,0,0,68.9,74,25.6,89.7,25.2,83.1,13.4,43.9,0.16,1.8,0.66,6.56,68.9,6.72,7.05,1.8,51,4.43,0.33,1.64,0.66,23.5,2.13,0.33,1.64,1.48,81.3,2.62,1.31,50,0.98,41.3,1.97,1.64,50.8,0.16,0,1.15,1.31,0,6.72,0.66,0,0,5.74,1.15,1.48,43.8
Kim Min-jae,KOR,DF,Napoli,Serie A,26,1996,20,1755,2,0.26,0.1,40,0.4,0,0,0,78.7,90.2,30.2,93.2,37.1,94.5,8.97,72.6,0,0.26,0.05,4.56,78.7,0.15,0.05,0,70.9,1.28,0.05,1.79,1.13,87.5,0.1,1.08,1.03,4.1,89,0.21,0.05,25,0.15,54.3,1.08,0.41,64.2,0.21,0,0.87,0.15,0,0.15,1.13,0,0,6.72,2.56,1.44,64.1
Yerry Mina,COL,DF,Everton,Premier League,28,1994,3,234,1,1.15,0.77,66.7,0.33,0,0,0,66.9,89.7,23.8,91.9,38.1,90.9,4.23,63.6,0,0,0,2.69,66.9,0,0.38,0,60,0.38,0,3.46,1.54,100,0,0.38,0.77,3.46,79.6,0,0,0,0,46.2,0.38,0.38,54.2,0.38,0,1.54,1.15,0,0,1.54,0,0,4.62,2.69,2.69,50
Takumi Minamino,JPN,MFFW,Monaco,Ligue 1,28,1995,12,480,1,1.89,0.94,50,0.1,0.19,0,0,31.5,65.9,13.4,73.2,8.87,80.9,4.53,33.3,0.57,1.13,0,3.02,31.5,5.09,0.38,1.89,20.8,3.02,0.75,1.89,0.94,21.7,3.4,0,0.94,0.57,47.9,1.32,0.38,28.6,0.94,31.1,3.4,1.51,28.7,0.38,0,2.26,1.32,0.38,5.09,0.94,0.19,0,5.09,0.94,0.57,62.5
Tyrone Mings,ENG,DF,Aston Villa,Premier League,29,1993,19,1710,0,0.05,0,0,0,0,0,0,49.9,84,13.9,91.3,26.1,92.7,8.95,51.8,0.05,0.16,0,3,49.9,0.11,0.32,0,41.9,0.79,0.16,0.42,0.11,50,0.21,0.58,1.68,4.21,59.1,0.26,0.05,20,0.11,35.7,0.47,0.32,38.8,0.21,0,0.68,0.63,0.05,0.11,0.11,0.05,0,5.21,1.58,0.89,63.8
Rafa Mir,ESP,FW,Sevilla,La Liga,25,1997,14,764,3,3.76,1.06,28.1,0.09,0,0,0,17.3,70.7,8.82,85.3,5.65,64.6,0.71,50,0,0,0,0.82,17.3,0.59,0,0,12.2,1.29,0,0.71,0.12,50,0.12,0,0.24,0.94,26.9,0.94,0,0,0.82,12.5,1.06,0.24,18.6,0.12,0,1.06,0.94,1.18,0.59,0.12,0,0,2.94,1.53,2.12,41.9
Aleksei Miranchuk,RUS,MF,Torino,Serie A,27,1995,16,1162,4,1.86,0.78,41.7,0.17,0.08,0,0,35.7,80.9,16.9,88.5,11.3,86.3,4.73,52.5,0.16,1.4,0.31,4.42,35.7,1.24,0.31,1.01,28.9,3.64,0.39,0.39,0.16,25,0.23,0,0.08,0.23,44.6,1.78,0.54,30.4,0.93,28.7,2.17,2.33,35.7,0,0,0.39,1.4,0,1.24,0.16,0.08,0,3.8,0.39,1.09,26.3
Juan Miranda,ESP,DF,Betis,La Liga,23,2000,5,272,0,0.67,0.33,50,0,0,0,0,52.3,69.4,23.3,85.7,14.7,72.7,9,37,0,1.67,0.33,4.67,52.3,3.67,7,0.33,36.3,2.67,0,2.33,1.67,100,0,0.33,1,1.67,60.3,0.67,0.67,100,0,28.7,1.33,1,37,0,0,1.33,0.67,0,3.67,1.67,0,0,4.33,0.67,0.67,50
Fabio Miretti,ITA,MFFW,Juventus,Serie A,19,2003,18,829,0,1.85,0.54,29.4,0,0,0,0,40.1,70.7,18.8,81.5,13.3,76.2,4.89,40,0.11,0.87,0.11,3.8,40.1,1.85,0.54,0.87,28.4,3.7,0.54,1.85,0.76,47.1,0.98,0.11,0.22,0.87,54.5,2.93,0.98,33.3,1.74,31,2.28,1.41,37.3,0.11,0,1.74,1.63,0.11,1.85,0.76,0.11,0,6.41,0.43,1.3,25
Tyrick Mitchell,ENG,DF,Crystal Palace,Premier League,23,1999,20,1460,0,0.19,0.06,33.3,0,0,0,0,49.8,71,21.5,82.8,19.5,76.6,5.93,33.3,0.12,0.68,0.31,3.77,49.8,1.79,9.57,0,35.3,1.05,0.12,1.91,1.23,44.4,0.93,0.31,1.3,2.53,59,1.05,0.49,47.1,0.37,26.7,0.86,0.68,30.7,0.25,0.06,1.05,0.43,0,1.79,1.23,0,0,6.3,0.86,0.86,50
